seriesRank,seriesTitle,seriesLink,overallRating,numberOfRatings,timeRange,episodes,seasons,storyline,genres,language,countries
65,The Chosen,https://www.imdb.com/title/tt5622316/?ref_=chttvtp_t_65,9.1,67000,2017-,46,7,"The Chosen is a historical drama based on the life of Jesus and those who knew him. Set against the backdrop of Roman oppression in first-century Israel, the series shares an authentic look at Jesus' revolutionary life and teachings.","Drama, History",English,Canada
101,Monster,https://www.imdb.com/title/tt0434706/?ref_=chttvtp_t_101,8.7,67000,2004-2005,75,3,"Tenma, a brilliant neurosurgeon with a promising future, risks his career to save the life of a critically wounded young boy. The boy, now a charismatic young man, reappears 9 years later in the midst of a string of unusual serial murders.","Animation, Thriller, Crime",English,Japan
35,Only Fools and Horses,https://www.imdb.com/title/tt0081912/?ref_=chttvtp_t_35,9,66000,1981-2003,65,9,Follows two brothers from a rough London estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,Comedy,English,United Kingdom
207,Samurai Jack,https://www.imdb.com/title/tt0278238/?ref_=chttvtp_t_207,8.5,66000,2001-2017,62,5,"A samurai, sent through time, fights to return home and save the world.","Animation, Fantasy, Action",English,United States
42,Frieren: Beyond Journey's End,https://www.imdb.com/title/tt22248376/?ref_=chttvtp_t_42,8.9,65000,2023-,38,2,Elf mage Frieren and her fellow adventurers have defeated the Demon King and brought peace to the land. But Frieren will long outlive the rest of her former party. How will she come to understand what life means to the people around her?,"Animation, Adventure, Fantasy",Japanese,Japan
74,Blackadder Goes Forth,https://www.imdb.com/title/tt0096548/?ref_=chttvtp_t_74,8.8,65000,1989,6,1,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","Comedy, War",English,United Kingdom
214,Mob Psycho 100,https://www.imdb.com/title/tt5897304/?ref_=chttvtp_t_214,8.5,64000,2016-2022,37,3,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Animation, Action, Comedy",Japanese,Japan
196,Samurai Champloo,https://www.imdb.com/title/tt0423731/?ref_=chttvtp_t_196,8.5,63000,2004-2005,26,2,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Animation, Action, Adventure",Japanese,Japan
12,Our Planet,https://www.imdb.com/title/tt9253866/?ref_=chttvtp_t_12,9.2,62000,2019-2023,12,2,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography.",Documentary,English,United States
216,Spaced,https://www.imdb.com/title/tt0187664/?ref_=chttvtp_t_216,8.5,60000,1999-2001,14,2,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",Comedy,English,United Kingdom
