title,overall_rating,genres,language,seasons,episodes
The Crown,8.6,"Costume Drama, Epic, Historical Epic, Period Drama, Political Drama, Biography, Drama, History",English,6,60
Adventure Time,8.6,"Adult Animation, Buddy Comedy, Hand-Drawn Animation, Sword & Sorcery, Teen Adventure, Teen Comedy, Teen Fantasy, Action, Adventure, Animation",English,10,288
Dexter,8.6,"Psychological Drama, Psychological Thriller, Serial Killer, Suspense Mystery, Crime, Drama, Mystery, Thriller",English,8,96
Deadwood,8.6,"Classical Western, Epic, Historical Epic, Period Drama, Crime, Drama, History, Western",English,3,36
Atlanta,8.6,"Satire, Comedy, Drama, Music",English,4,41
The X Files,8.6,"Alien Invasion, Conspiracy Thriller, Police Procedural, Suspense Mystery, Adventure, Crime, Drama, Mystery, Sci-Fi, Thriller",English,11,217
House of Cards,8.6,"Epic, Political Drama, Drama",English,6,73
Parks and Recreation,8.6,"Mockumentary, Satire, Sitcom, Comedy",English,7,124
Aspirants,9.2,"Workplace Drama, Drama",Hindi,2,10
The Mandalorian,8.6,"Action Epic, Adventure Epic, Fantasy Epic, One-Person Army Action, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Fantasy, Sci-Fi",English,3,25
Code Geass: Lelouch of the Rebellion,8.7,"Anime, Mecha, Political Drama, Supernatural Fantasy, Action, Animation, Drama, Fantasy, Sci-Fi, Thriller",Japanese,2,54
Father Ted,8.7,"Sitcom, Comedy",English,3,25
Sarabhai V/S Sarabhai,8.9,"Sitcom, Comedy",Hindi,2,61
This Is Us,8.7,"Epic, Romantic Epic, Comedy, Drama, Romance",English,6,106
Behzat Ç: An Ankara Detective Story,8.8,"Cop Drama, Police Procedural, Crime, Drama, Mystery, Thriller",Turkish,4,105
How to with John Wilson,8.7,"Docuseries, Comedy, Documentary",English,3,18
The Thick of It,8.7,"Satire, Sitcom, Comedy",English,4,24
1883,8.7,"Period Drama, Western Epic, Drama, Western",English,1,10
Top Gear,8.7,"Motorsport, Travel, Adventure, Sport, Talk Show",English,33,296
Stranger Things,8.7,"Dark Fantasy, Fantasy Epic, Monster Horror, Sci-Fi Epic, Supernatural Fantasy, Supernatural Horror, Teen Horror, Drama, Fantasy, Horror",English,5,42
The Marvelous Mrs. Maisel,8.7,"Period Drama, Showbiz Drama, Comedy, Drama",English,5,43
Line of Duty,8.7,"Cop Drama, Police Procedural, Suspense Mystery, Crime, Drama, Mystery, Thriller",English,6,36
Mahabharat,8.9,"Epic, Period Drama, War Epic, Action, Adventure, Drama, Fantasy, History, Musical, War",Hindi,1,51
Friday Night Lights,8.7,"Coming-of-Age, Football, Teen Drama, Drama, Sport",English,5,76
The Boys,8.6,"Dark Comedy, Raunchy Comedy, Satire, Superhero, Action, Comedy, Crime, Drama, Sci-Fi",English,5,40
Invincible,8.6,"Adult Animation, Superhero, Action, Adventure, Animation, Drama, Fantasy, Sci-Fi, Thriller",English,4,25
The Adventures of Sherlock Holmes,8.7,"Police Procedural, Whodunnit, Crime, Drama, Mystery",English,2,13
Justice League Unlimited,8.7,"Hand-Drawn Animation, Superhero, Action, Adventure, Animation, Family, Fantasy, Sci-Fi",English,3,39
