title,genres,language,seasons,episodes
Leyla ile Mecnun,"Romantic Epic, Adventure, Comedy, Drama, Fantasy, Mystery, Romance",Turkish,7,144
Fawlty Towers,"Farce, Sitcom, Slapstick, Comedy",English,2,12
The Chosen,"Historical Epic, Drama, History",English,5,42
BoJack Horseman,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",English,6,77
Das Boot,"War Epic, Drama, War",German,1,3
Curb Your Enthusiasm,"Dark Comedy, Sitcom, Comedy",English,12,120
Monty Python's Flying Circus,"Farce, Satire, Sketch Comedy, Slapstick, Comedy",English,4,45
One Piece,"Action Epic, Adult Animation, Adventure Epic, Anime, Fantasy Epic, Globetrotting Adventure, Martial Arts, Quest, Sea Adventure, Shōnen",Japanese,1,66
The West Wing,"Political Drama, Drama",English,7,155
TVF Pitchers,"Comedy, Drama",Hindi,2,10
Succession,"Dark Comedy, Epic, Satire, Tragedy, Workplace Drama, Comedy, Drama, Financial Drama",English,4,39
It's Always Sunny in Philadelphia,"Dark Comedy, Satire, Sitcom, Comedy",English,17,179
Last Week Tonight with John Oliver,"News, Satire, Comedy, Talk Show",English,12,37
Friends,"Feel-Good Romance, Parody, Romantic Comedy, Sitcom, Comedy, Romance",English,10,235
When They See Us,"Docudrama, Legal Drama, Teen Drama, True Crime, Biography, Crime, Drama, History",English,1,4
Africa,"Nature Documentary, Documentary",English,1,7
Frieren: Beyond Journey's End,"Anime, Fantasy Epic, Iyashikei, Shōnen, Sword & Sorcery, Adventure, Animation, Comedy, Drama, Fantasy",Japanese,1,29
Taskmaster,"Comedy, Game Show",English,19,182
Apocalypse: The Second World War,"History Documentary, Military Documentary, Documentary, History, War",French,1,6
Sahsiyet,"Psychological Thriller, Crime, Drama, Mystery, Thriller",Turkish,2,22
Nathan for You,"Docuseries, Quirky Comedy, Comedy, Documentary",English,4,32
Fargo,"Dark Comedy, Crime, Drama, Thriller",English,5,51
True Detective,"Cop Drama, Epic, Hard-boiled Detective, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Suspense Mystery, Whodunnit, Crime",English,4,31
As If,"Buddy Comedy, Comedy",Turkish,5,56
