rank,title,link,ratings_link,10_ratings,9_ratings,8_ratings,7_ratings,6_ratings,5_ratings,4_ratings,3_ratings,2_ratings,1_ratings,overall_ratings,10_sample,9_sample,8_sample,7_sample,6_sample,5_sample,4_sample,3_sample,2_sample,1_sample,overall_sample,nature,timerange,parentalGuide,runtime,storyline,genres,languages,countries,releaseDate,releaseCountry
90,Rome,https://www.imdb.com/title/tt0384766/?ref_=chttvtp_t_90,https://www.imdb.com/title/tt0384766/ratings/?ref_=tt_ov_rat,33.1%,31.7%,20.1%,7.6%,2.5%,1.1%,0.5%,0.4%,0.4%,2.6%,8.7,"64,000","61,000","39,000","15,000","4,700","2,100","1,000",699,717,"5,000","10,193,000",TV Series,2005–2007,18,1h,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Period Drama, Sword & Sandal, Action, Drama, Romance, War, Back to top",English,"United Kingdom, United States","November 2, 2005",United Kingdom
89,Steins;Gate,https://www.imdb.com/title/tt1910272/?ref_=chttvtp_t_89,https://www.imdb.com/title/tt1910272/ratings/?ref_=tt_ov_rat,41.8%,28.2%,15.5%,6.5%,2.5%,1.3%,0.7%,0.5%,0.5%,2.6%,8.8,"34,000","23,000","13,000","5,200","2,000","1,100",563,420,377,"2,100","1,081,000",TV Series,2011–2015,12,24m,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Anime, Time Travel, Animation, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller, Back to top","Japanese, English",Japan,"June 30, 2014",United Kingdom
88,Six Feet Under,https://www.imdb.com/title/tt0248654/?ref_=chttvtp_t_88,https://www.imdb.com/title/tt0248654/ratings/?ref_=tt_ov_rat,39.8%,25.8%,17.0%,8.1%,3.2%,1.5%,0.7%,0.6%,0.5%,2.8%,8.7,"63,000","40,000","27,000","13,000","5,000","2,400","1,200",864,748,"4,400","10,157,000",TV Series,2001–2005,18,1h,"When death is your business, what is your life? Laced with irony and dark situational humor, the show approaches the subject of death through the eyes of the Fisher family, who owns and operates a funeral home in Los Angeles.","Dark Comedy, Psychological Drama, Comedy, Drama, Back to top",English,United States,"June 10, 2002",United Kingdom
87,X-Men '97,https://www.imdb.com/title/tt16026746/?ref_=chttvtp_t_87,https://www.imdb.com/title/tt16026746/ratings/?ref_=tt_ov_rat,39.0%,29.8%,15.9%,6.2%,2.0%,1.0%,0.5%,0.6%,1.1%,3.9%,8.8,"16,000","13,000","6,700","2,600",851,423,215,240,465,"1,600","1,042,000",TV Series,2024–,TV-14,22m,"A band of mutants use their uncanny gifts to protect a world that hates and fears them; they're challenged like never before, forced to face a dangerous and unexpected new future.","Adult Animation, Superhero, Action, Adventure, Animation, Fantasy, Sci-Fi, Back to top",English,"United States, South Korea","March 20, 2024",United Kingdom
86,Peaky Blinders,https://www.imdb.com/title/tt2442560/?ref_=chttvtp_t_86,https://www.imdb.com/title/tt2442560/ratings/?ref_=tt_ov_rat,36.3%,32.0%,19.4%,7.1%,2.3%,1.0%,0.5%,0.3%,0.2%,1.0%,8.7,"253,000","223,000","136,000","49,000","16,000","6,800","3,200","2,100","1,700","6,700","10,698,000",TV Series,2013–2022,18,1h,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Gangster, Period Drama, Crime, Drama, Back to top","English, Romanian, Irish Gaelic, Italian, Yiddish, French",United Kingdom,"September 12, 2013",United Kingdom
85,Reply 1988,https://www.imdb.com/title/tt5182866/?ref_=chttvtp_t_85,https://www.imdb.com/title/tt5182866/ratings/?ref_=tt_ov_rat,51.9%,24.8%,9.6%,3.3%,1.3%,0.8%,0.7%,0.9%,1.7%,5.1%,9,"7,700","3,700","1,400",496,193,112,101,130,246,765,"1,015,000",TV Series,2015–2016,,,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures.","Korean Drama, Comedy, Drama, Family, Romance, Back to top",Korean,South Korea,"January 1, 2020",United Kingdom
84,Ted Lasso,https://www.imdb.com/title/tt10986410/?ref_=chttvtp_t_84,https://www.imdb.com/title/tt10986410/ratings/?ref_=tt_ov_rat,40.9%,28.8%,17.4%,7.1%,2.6%,1.1%,0.5%,0.4%,0.3%,0.9%,8.8,"159,000","112,000","68,000","28,000","9,900","4,200","2,100","1,400","1,200","3,600","10,389,000",TV Series,2020–,15,30m,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Soccer, Workplace Drama, Comedy, Drama, Sport, Back to top",English,"United States, United Kingdom","August 14, 2020",United Kingdom
83,Over the Garden Wall,https://www.imdb.com/title/tt3718778/?ref_=chttvtp_t_83,https://www.imdb.com/title/tt3718778/ratings/?ref_=tt_ov_rat,39.7%,28.3%,18.3%,7.6%,2.5%,1.0%,0.5%,0.3%,0.3%,1.4%,8.7,"31,000","22,000","14,000","6,000","2,000",824,389,272,218,"1,100","1,079,000",TV Mini Series,2014,PG,11m,Two brothers find themselves lost in a mysterious land and try to find their way home.,"Dark Fantasy, Folk Horror, Supernatural Fantasy, Supernatural Horror, Adventure, Animation, Comedy, Drama, Family, Fantasy, Back to top",English,United States,"April 6, 2015",United Kingdom
82,Black Mirror,https://www.imdb.com/title/tt2085059/?ref_=chttvtp_t_82,https://www.imdb.com/title/tt2085059/ratings/?ref_=tt_ov_rat,29.2%,33.8%,22.8%,8.2%,2.5%,1.1%,0.5%,0.4%,0.3%,1.2%,8.7,"196,000","227,000","153,000","55,000","17,000","7,600","3,700","2,800","2,200","7,900","10,672,000",TV Series,2011–,18,1h,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world.","Cyber Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Crime, Drama, Mystery, Sci-Fi, Back to top",English,United Kingdom,"December 4, 2011",United Kingdom
81,South Park,https://www.imdb.com/title/tt0121955/?ref_=chttvtp_t_81,https://www.imdb.com/title/tt0121955/ratings/?ref_=tt_ov_rat,39.8%,25.6%,17.2%,7.9%,3.1%,1.5%,0.8%,0.6%,0.6%,2.9%,8.7,"167,000","107,000","72,000","33,000","13,000","6,300","3,600","2,700","2,700","12,000","10,419,000",TV Series,1997–,PG,22m,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Adult Animation, Dark Comedy, Farce, Parody, Raunchy Comedy, Satire, Sitcom, Animation, Comedy, Back to top",English,United States,"March 28, 1998",United Kingdom
80,Kota Factory,https://www.imdb.com/title/tt9432978/?ref_=chttvtp_t_80,https://www.imdb.com/title/tt9432978/ratings/?ref_=tt_ov_rat,64.3%,19.7%,9.0%,3.1%,1.0%,0.5%,0.3%,0.2%,0.2%,1.8%,9,"56,000","17,000","7,900","2,700",862,397,220,151,213,"1,600","1,087,000",TV Series,2019–2021,12,40m,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.","Comedy, Drama, Back to top",Hindi,India,"September 24, 2021",United Kingdom
79,"I, Claudius",https://www.imdb.com/title/tt0074006/?ref_=chttvtp_t_79,https://www.imdb.com/title/tt0074006/ratings/?ref_=tt_ov_rat,40.8%,27.8%,14.6%,5.9%,2.2%,1.4%,0.7%,0.5%,0.7%,5.2%,8.8,"8,500","5,800","3,000","1,200",465,300,155,114,145,"1,100","1,021,000",TV Mini Series,1976,15,50m,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","Epic, Period Drama, Political Drama, Sword & Sandal, Biography, Drama, History, Back to top","English, German",United Kingdom,"September 20, 1976",United Kingdom
78,Gullak,https://www.imdb.com/title/tt10530900/?ref_=chttvtp_t_78,https://www.imdb.com/title/tt10530900/ratings/?ref_=tt_ov_rat,65.4%,19.2%,6.6%,1.8%,0.7%,0.5%,0.3%,0.5%,1.0%,4.0%,9.1,"17,000","5,000","1,700",478,189,120,67,129,268,"1,000","1,026,000",TV Series,2019–,,,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.","Comedy, Drama, Family, Back to top",Hindi,India,"June 27, 2019",India
77,Vinland Saga,https://www.imdb.com/title/tt10233448/?ref_=chttvtp_t_77,https://www.imdb.com/title/tt10233448/ratings/?ref_=tt_ov_rat,43.4%,29.2%,15.9%,5.6%,1.9%,0.8%,0.4%,0.3%,0.6%,1.9%,8.8,"40,000","27,000","15,000","5,200","1,800",784,384,255,545,"1,700","1,093,000",TV Series,2019–2023,15,24m,"Following a tragedy, Thorfinn embarks on a journey with the man responsible for it to take his life in a duel as a true and honorable warrior to pay homage.","Adult Animation, Anime, Historical Epic, One-Person Army Action, Period Drama, Seinen, Tragedy, Action, Adventure, Animation, Back to top","Japanese, English",Japan,"July 7, 2019",United Kingdom
76,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/?ref_=chttvtp_t_76,https://www.imdb.com/title/tt14986406/ratings/?ref_=tt_ov_rat,66.9%,12.3%,5.4%,2.3%,0.9%,0.5%,0.4%,0.9%,4.1%,6.1%,9,"39,000","7,100","3,100","1,300",544,302,224,547,"2,400","3,500","1,058,000",TV Series,2022–,16,24m,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","Anime, Sh≈çnen, Supernatural Fantasy, Urban Adventure, Action, Adventure, Animation, Fantasy, Back to top","Japanese, English",Japan,"October 10, 2022",United Kingdom
75,Narcos,https://www.imdb.com/title/tt2707408/?ref_=chttvtp_t_75,https://www.imdb.com/title/tt2707408/ratings/?ref_=tt_ov_rat,28.8%,36.8%,23.2%,7.2%,1.8%,0.7%,0.3%,0.2%,0.2%,0.8%,8.7,"142,000","182,000","115,000","36,000","9,100","3,400","1,400",914,799,"3,900","10,494,000",TV Series,2015–2017,15,50m,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Docudrama, Drug Crime, Epic, Police Procedural, True Crime, Biography, Crime, Drama, Thriller, Back to top","English, Spanish","United States, Colombia","August 28, 2015",United Kingdom
74,Chappelle's Show,https://www.imdb.com/title/tt0353049/?ref_=chttvtp_t_74,https://www.imdb.com/title/tt0353049/ratings/?ref_=tt_ov_rat,35.9%,29.7%,18.0%,7.2%,2.4%,1.2%,0.6%,0.6%,0.6%,3.8%,8.8,"27,000","22,000","14,000","5,400","1,800",881,439,429,468,"2,900","1,076,000",TV Series,2003–2006,15,22m,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Satire, Sketch Comedy, Comedy, Music, Back to top",English,United States,"January 22, 2003",United States
73,Dragon Ball Z,https://www.imdb.com/title/tt0121220/?ref_=chttvtp_t_73,https://www.imdb.com/title/tt0121220/ratings/?ref_=tt_ov_rat,42.3%,24.5%,15.6%,7.2%,2.8%,1.4%,0.7%,0.6%,0.6%,4.2%,8.8,"40,000","23,000","15,000","6,800","2,600","1,300",690,560,581,"3,900","1,094,000",TV Series,1989–1996,PG,24m,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","Adult Animation, Anime, Hand-Drawn Animation, Martial Arts, Sh≈çnen, Superhero, Supernatural Fantasy, Action, Adventure, Animation, Back to top",Japanese,Japan,"April 26, 1989",Japan
72,Twin Peaks,https://www.imdb.com/title/tt0098936/?ref_=chttvtp_t_72,https://www.imdb.com/title/tt0098936/ratings/?ref_=tt_ov_rat,38.4%,27.7%,17.2%,7.5%,3.0%,1.5%,0.8%,0.5%,0.5%,2.9%,8.7,"88,000","63,000","39,000","17,000","6,900","3,400","1,800","1,200","1,100","6,600","10,228,000",TV Series,1990–1991,PG,50m,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Cop Drama, Police Procedural, Psychological Drama, Serial Killer, Soap Opera, Suspense Mystery, Teen Drama, Whodunnit, Crime, Drama, Back to top","English, Icelandic, Afrikaans, Norwegian",United States,"October 23, 1990",United Kingdom
